Name,Clinical Trials 1,CT2,CT3,CT4,,,,,,,,,,,,,,,,,,,,,
,https://cdn.clinicaltrials.gov/large-docs/81/NCT02839681/Prot_SAP_000.pdf,https://cdn.clinicaltrials.gov/large-docs/54/NCT01563354/Prot_000.pdf,,,,,,,,,,,,,,,,,,,,,,,
MeSHTerm,"Respiratory Tract Neoplasms, Thoracic Neoplasms, Lung Neoplasms, etc.","Neoplasms, Glandular and Epithelial
Neoplasms by Histologic Type
Neuroendocrine Tumors
Lung Neoplasms
Everolimus
Pasireotide
MTOR Inhibitors
Protein Kinase Inhibitors","Lung Neoplasms
Respiratory Tract Neoplasms
Thoracic Neoplasms
Bone Density Conservation Agents
Risedronic Acid
Calcium-Regulating Hormones and Agents
",,,,,,,,,,,,,,,,,,,,,,
PrimaryEndpointGroup,Changes in Mean Cortical Thickness.,Primary Endpoint Group:,Primary Endpoint Group:,,,,,,,,,,,,,,,,,,,,,,
TreatmentPlan,Risedronate 150 mg given once 7-21 days prior to initiation of SBRT; Placebo.,,,,,,,,,,,,,,,,,,,,,,,,
Sponsor,: Wake Forest University Health Sciences.,Percentage of Participants Progression-free at 9 Months Based on RECIST v1.1,Percent change in mean cortical thickness of bones receiving 30 Gy or more at 3 months post-SBRT,,,,,,,,,,,,,,,,,,,,,,
StartDate,: 2019-07-12.,,,,,,,,,,,,,,,,,,,,,,,,
StudyKeywords,": Lung cancer, SBRT, Risedronate, Chest wall pain.",3. Treatment Plan:,3. Treatment Plan:,,,,,,,,,,,,,,,,,,,,,,
Protocol/TrialID,NCT03861091.,,,,,,,,,,,,,,,,,,,,,,,,
PrimaryTestedDrug,Risedronate.,Arm 1: Pasireotide LAR,Arm 1: Risedronate 150 mg (single dose given 7-21 days prior to SBRT),,,,,,,,,,,,,,,,,,,,,,
TrialTag/Attribute,"Randomized controlled, Double-blind.",Arm 2: Everolimus,Arm 2: Matching placebo (single dose given 7-21 days prior to SBRT),,,,,,,,,,,,,,,,,,,,,,
PrimaryTestedDrug,Bone anti-resorptive (prevents bone loss).,Arm 3: Pasireotide LAR and Everolimus Combination,,,,,,,,,,,,,,,,,,,,,,,
Decentralized (DCT) Attribute,Not applicable (not mentioned).,,4. Sponsor:,,,,,,,,,,,,,,,,,,,,,,
TrialTitle,Prophylactic Risedronate for Patients With Peripheral Lung Tumors Treated With SBRT.,4. Sponsor:,,,,,,,,,,,,,,,,,,,,,,,
PrimaryTestedDrug,Bone (osteoclasts).,,Wake Forest University Health Sciences,,,,,,,,,,,,,,,,,,,,,,
PatientPopulation,"Patients with peripheral lung tumors within 2 cm of the chest wall, ECOG status 0-3, life expectancy of at least 3 months.",Novartis Pharmaceuticals,,,,,,,,,,,,,,,,,,,,,,,
DrugNames,"Risedronate, Matching placebo.",,5. Start Date:,,,,,,,,,,,,,,,,,,,,,,
TrialPhase,: Phase 2.,5. Start Date:,,,,,,,,,,,,,,,,,,,,,,,
PrimaryTestedDrug,Bone Density Conservation Agents.,,2019-07-12,,,,,,,,,,,,,,,,,,,,,,
InclusionCriteria,"Patients aged 18 years and older, peripheral lung tumor within 2 cm of chest wall, ECOG status 0-3.",2013-08-16,,,,,,,,,,,,,,,,,,,,,,,
ExclusionCriteria,"Tumor >2 cm from chest wall, history of bone anti-resorptive agent use, inability to sit upright for at least 30 minutes, hypocalcemia, severe renal impairment, allergy to risedronate, surgery on bone/dental operations in the last 6 months, positive pregnancy test.",,6. Study Keywords:,,,,,,,,,,,,,,,,,,,,,,
GlobalStatus,Last update posted 2023-07-27 (completed).,6. Study Keywords:,,,,,,,,,,,,,,,,,,,,,,,
TherapeuticArea,Lung cancer.,,"Lung cancer, Peripheral lung tumors, Risedronate, Bone loss prevention, SBRT",,,,,,,,,,,,,,,,,,,,,,
OncologyBiomarkerCommonUse(s),Not mentioned explicitly.,"Neuroendocrine Carcinoma, Lung Cancer, Thymus Cancer, Oncology, Everolimus, Pasireotide, MTOR Inhibitors, Somatostatin",,,,,,,,,,,,,,,,,,,,,,,
IdentifiedSites,"High Point Regional Medical Center, Wake Forest Baptist Comprehensive Cancer Center, USA.",,7. Protocol/Trial ID:,,,,,,,,,,,,,,,,,,,,,,
DevelopmentStatus,Completed.,7. Protocol/Trial ID:,,,,,,,,,,,,,,,,,,,,,,,
Disease,Lung Neoplasm.,,NCT03861091,,,,,,,,,,,,,,,,,,,,,,
TrialObjective,Assess percent change in bone mean cortical thickness within regions receiving 30 Gy or more at 3 months post-SBRT.,CSOM230DIC03,,,,,,,,,,,,,,,,,,,,,,,
TrialRegion,United States (North Carolina).,2011-002872-17 (EudraCT Number),8. Primary Tested Drug:,,,,,,,,,,,,,,,,,,,,,,
DrugDisease,Lung cancer.,,Risedronate,,,,,,,,,,,,,,,,,,,,,,
PhaseI,No (Phase II).,8. Primary Tested Drug:,,,,,,,,,,,,,,,,,,,,,,,
PhaseII,Yes.,,9. Trial Tag/Attribute:,,,,,,,,,,,,,,,,,,,,,,
PhaseIII,No.,Everolimus,,,,,,,,,,,,,,,,,,,,,,,
Preclinical,No.,Pasireotide,Oncology,,,,,,,,,,,,,,,,,,,,,,
TherapeuticClass,Bone Density Conservation Agents.,,Bone Density Conservation,,,,,,,,,,,,,,,,,,,,,,
TherapeuticClassStatus,Not explicitly mentioned.,9. Trial Tag/Attribute:,,,,,,,,,,,,,,,,,,,,,,,
DrugDisease,Not applicable,,10. Decentralized (DCT) Attribute:,,,,,,,,,,,,,,,,,,,,,,
,,Oncology,,,,,,,,,,,,,,,,,,,,,,,
,,Phase 2,Not applicable (trial was conducted at specified locations),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,10. Decentralized (DCT) Attribute:,11. Trial Title:,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Not applicable (assume this as no specific details on decentralization),A Randomized Clinical Trial of Prophylactic Risedronate for Patients With Peripheral Lung Tumors Treated With SBRT,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,11. Trial Title:,12. Patient Population:,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Multicenter 3-arm Trial to Evaluate the Efficacy and Safety of Pasireotide LAR or Everolimus Alone or in Combination in Patients With Well Differentiated Neuroendocrine Carcinoma of the Lung and Thymus - LUNA Trial,"Patients with peripheral lung tumors within 2 cm of the chest wall, undergoing SBRT",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,12. Patient Population:,13. Drug Names:,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Patients with well-differentiated neuroendocrine carcinoma of the lung and thymus,Risedronate,,,,,,,,,,,,,,,,,,,,,,
,,,Placebo,,,,,,,,,,,,,,,,,,,,,,
,,13. Drug Names:,,,,,,,,,,,,,,,,,,,,,,,
,,,14. Trial Phase:,,,,,,,,,,,,,,,,,,,,,,
,,Everolimus,,,,,,,,,,,,,,,,,,,,,,,
,,Pasireotide,Phase 2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,14. Trial Phase:,15. Inclusion Criteria:,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Phase 2,"Patients 18 years or older with a peripheral lung tumor, ECOG status of 0-3, and a life expectancy of at least 3 months.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,15. Inclusion Criteria:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Patients must have a histologically confirmed well-differentiated neuroendocrine carcinoma of the lung or thymus.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,16. Exclusion Criteria:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Patients with poorly differentiated carcinoma, other primary malignancies, or those with uncontrolled medical conditions.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,17. Global Status:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Completed,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,18. Therapeutic Area:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Oncology,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,19. Oncology Biomarker Common Use(s):,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Not explicitly mentioned in the original trial information (can be assumed not applicable or generalized to MTOR pathway targeting).,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,20. Identified Sites:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Multicenter (exact sites not detailed),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,21. Development Status:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Completed,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,22. Disease:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Well-Differentiated Neuroendocrine Carcinoma of the Lung and Thymus,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,23. Trial Objective:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,To evaluate the efficacy and safety of Pasireotide LAR or Everolimus alone or in combination in patients with well-differentiated neuroendocrine carcinoma of the lung and thymus.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,24. Trial Region:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Global (Multicenter),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,25. Drug Disease:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Everolimus, Pasireotide for Neuroendocrine Tumors",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,26. Phase I:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Not applicable (this is a Phase 2 trial),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,27. Phase II:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Completed,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,28. Phase III:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Not applicable (this is a Phase 2 trial),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,29. Preclinical:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Not applicable,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,30. Therapeutic Class:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,MTOR Inhibitors (Everolimus),,,,,,,,,,,,,,,,,,,,,,,
,,Somatostatin Analog (Pasireotide),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,31. Therapeutic Class Status:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Approved drugs used in the trial for research purposes,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,32. Drug Disease:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Everolimus and Pasireotide for Neuroendocrine Tumors,,,,,,,,,,,,,,,,,,,,,,,
